A1CAP,A1 CAPITAL YATIRIM
ESCOM,ESCORT TEKNOLOJI
ESEN,ESENBOGA ELEKTRIK
ETILR,ETILER GIDA
EUHOL,EURO YATIRIM HOLDING
EUPWR,EUROPOWER ENERJI
EUREN,EUROPEN ENDUSTRI
EYGYO,EYG GMYO
FADE,FADE GIDA
FENER,FENERBAHCE FUTBOL
FLAP,FLAP KONGRE TOPLANTI HIZ.
FMIZP,F-M IZMIT PISTON
FONET,FONET BILGI TEKNOLOJILERI
FORMT,FORMET METAL VE CAM
FORTE,FORTE BILGI ILETISIM
FRIGO,FRIGO PAK GIDA
FROTO,FORD OTOSAN
FZLGY,FUZUL GMYO
GARAN,GARANTI BANKASI
GARFA,GARANTI FAKTORING
GEDIK,GEDIK Y. MEN. DEG.
GEDZA,GEDIZ AMBALAJ
GENIL,GEN ILAC
GENTS,GENTAS
GEREL,GERSAN ELEKTRIK
GESAN,GIRISIM ELEKTRIK SANAYI
GIPTA,GIPTA OFIS KIRTASIYE
GLBMD,GLOBAL MEN. DEG.
GLCVY,GELECEK VARLIK YONETIMI
GLRYH,GULER YAT. HOLDING
GLYHO,GLOBAL YAT. HOLDING
GMTAS,GIMAT MAGAZACILIK
GOKNR,GOKNUR GIDA
GOLTS,GOLTAS CIMENTO
GOODY,GOOD-YEAR
GOZDE,GOZDE GIRISIM
GRSEL,GUR-SEL TURIZM TASIMACILIK
GRTRK,GRAINTURK TARIM
GSDDE,GSD DENIZCILIK
GSDHO,GSD HOLDING
GSRAY,GALATASARAY SPORTIF
GUBRF,GUBRE FABRIK.
GWIND,GALATA WIND ENERJI
GZNMI,GEZINOMI SEYAHAT
HALKB,T. HALK BANKASI
HATEK,HATAY TEKSTIL
HATSN,HATSAN GEMI
HDFGS,HEDEF GIRISIM
HEDEF,HEDEF HOLDING
HEKTS,HEKTAS
HKTM,HIDROPAR HAREKET KONTROL
HLGYO,HALK GMYO
HOROZ,HOROZ LOJISTIK
HRKET,HAREKET PROJE TASIMACILIGI
HTTBT,HITIT BILGISAYAR
HUBVC,HUB GIRISIM
HUNER,HUN YENILENEBILIR ENERJI
HURGZ,HURRIYET GZT.
ICBCT,ICBC TURKEY BANK
ICUGS,ICU GIRISIM
IDGYO,IDEALIST GMYO
IEYHO,ISIKLAR ENERJI YAPI HOL.
IHAAS,IHLAS HABER AJANSI
IHEVA,IHLAS EV ALETLERI
IHGZT,IHLAS GAZETECILIK
IHLAS,IHLAS HOLDING
IHLGM,IHLAS GAYRIMENKUL
IHYAY,IHLAS YAYIN HOLDING
IMASM,IMAS MAKINA
INDES,INDEKS BILGISAYAR
INFO,INFO YATIRIM
INGRM,INGRAM BILISIM
INTEM,INTEMA
INVEO,INVEO YATIRIM HOLDING
INVES,INVESTCO HOLDING
IPEKE,IPEK DOGAL ENERJI
ISATR,IS BANKASI (A)
ISBIR,ISBIR HOLDING
ISBTR,IS BANKASI (B)
ISCTR,IS BANKASI (C)
ISDMR,ISKENDERUN DEMIR CELIK
ISFIN,IS FIN.KIR.
ISGSY,IS GIRISIM
ISGYO,IS GMYO
ISKPL,ISIK PLASTIK
ISMEN,IS Y. MEN. DEG.
ISSEN,ISBIR SENTETIK DOKUMA
IZENR,IZDEMIR ENERJI
IZFAS,IZMIR FIRCA
IZINV,IZ YATIRIM HOLDING
IZMDC,IZMIR DEMIR CELIK
JANTS,JANTSA JANT SANAYI
KAPLM,KAPLAMIN
KAREL,KAREL ELEKTRONIK
KARSN,KARSAN OTOMOTIV
KARTN,KARTONSAN
KARYE,KARTAL YEN. ENERJI
KATMR,KATMERCILER EKIPMAN
KAYSE,KAYSERI SEKER FABRIKASI
KBORU,KUZEY BORU
KCAER,KOCAER CELIK
KCHOL,KOC HOLDING
KENT,KENT GIDA
KERVT,KEREVITAS GIDA
KFEIN,KAFEIN YAZILIM
KGYO,KORAY GMYO
KIMMR,KIM MARKET-ERSAN ALISVERIS
KLGYO,KILER GMYO
KLKIM,KALEKIM KIMYEVI MADDELER
KLMSN,KLIMASAN KLIMA
KLNMA,T. KALKINMA BANK.
KLRHO,KILER HOLDING
KLSER,KALESERAMIK
KLSYN,KOLEKSIYON MOBILYA
KMPUR,KIMTEKS POLIURETAN
KNFRT,KONFRUT GIDA
KOCMT,KOC METALURJI
KONKA,KONYA KAGIT
KONTR,KONTROLMATIK TEKNOLOJI
KONYA,KONYA CIMENTO
KOPOL,KOZA POLYESTER
KORDS,KORDSA TEKNIK TEKSTIL
KOTON,KOTON MAGAZACILIK
KOZAA,KOZA MADENCILIK
KOZAL,KOZA ALTIN
KRDMA,KARDEMIR (A)
KRDMB,KARDEMIR (B)
KRDMD,KARDEMIR (D)
KRGYO,KORFEZ GMYO
KRONT,KRON TEKNOLOJI
KRPLS,KOROPLAST TEMIZLIK AMBALAJ
KRSTL,KRISTAL KOLA
KRTEK,KARSU TEKSTIL
KRVGD,KERVAN GIDA
KSTUR,KUSTUR KUSADASI TURIZM
KTLEV,KATILIMEVIM TAS. FIN.
KTSKR,KUTAHYA SEKER FABRIKASI
KUTPO,KUTAHYA PORSELEN
KUYAS,KUYAS YATIRIM
KZBGY,KIZILBUK GYO
KZGYO,KUZUGRUP GMYO
LIDER,LDR TURIZM
LIDFA,LIDER FAKTORING
LILAK,LILA KAGIT
LINK,LINK BILGISAYAR
LKMNH,LOKMAN HEKIM SAGLIK
LMKDC,LIMAK DOGU ANADOLU
LOGO,LOGO YAZILIM
LRSHO,LORAS HOLDING
LUKSK,LUKS KADIFE
MAALT,MARMARIS ALTINYUNUS
MACKO,MACKOLIK INTERNET HIZMETLERI
MAGEN,MARGUN ENERJI
MAKIM,MAKIM MAKINE
MAKTK,MAKINA TAKIM
MANAS,MANAS ENERJI YONETIMI
MARBL,TUREKS TURUNC MADENCILIK
MARKA,MARKA YATIRIM HOLDING
MARTI,MARTI OTEL
MAVI,MAVI GIYIM
MEDTR,MEDITERA TIBBI MALZEME
MEGAP,MEGA POLIETILEN
MEGAP,MEGA POLIETILEN
MEGMT,MEGA METAL
MEKAG,MEKA GLOBAL MAKINE
MEPET,METRO PETROL VE TESISLERI
MERCN,MERCAN KIMYA
MERIT,MERIT TURIZM
MERKO,MERKO GIDA
METRO,METRO HOLDING
METUR,METEMTUR YATIRIM
MGROS,MIGROS TICARET
MHRGY,MHR GMYO
MIATK,MIA TEKNOLOJI
MNDRS,MENDERES TEKSTIL
MNDTR,MONDI TURKEY
MOBTL,MOBILTEL ILETISIM
MOGAN,MOGAN ENERJI
MPARK,MLP SAGLIK
MRGYO,MARTI GMYO
MRSHL,MARSHALL
MSGYO,MISTRAL GMYO
MTRKS,MATRIKS BILGI DAGITIM
MZHLD,MAZHAR ZORLU HOLDING
NATEN,NATUREL ENERJI
NETAS,NETAS TELEKOM.
NIBAS,NIGBAS NIGDE BETON
NTGAZ,NATURELGAZ
NTHOL,NET HOLDING
NUGYO,NUROL GMYO
NUHCM,NUH CIMENTO
OBAMS,OBA MAKARNACILIK
OBASE,OBASE BILGISAYAR
ODAS,ODAS ELEKTRIK
ODINE,ODINE TEKNOLOJI
OFSYM,OFIS YEM GIDA
ONCSM,ONCOSEM ONKOLOJIK SISTEMLER
ONRYT,ONUR TEKNOLOJI
ORCAY,ORCAY ORTAKOY CAY SANAYI
ORGE,ORGE ENERJI ELEKTRIK
ORMA,ORMA ORMAN MAHSULLERI
OSMEN,OSMANLI MENKUL
OSTIM,OSTIM ENDUSTRIYEL YAT
OTKAR,OTOKAR
OYAKC,OYAK CIMENTO
OYLUM,OYLUM SINAI YATIRIMLAR
OYYAT,OYAK YATIRIM MENKUL
OZGYO,OZDERICI GMYO
OZKGY,OZAK GMYO
OZRDN,OZERDEN AMBALAJ
OZSUB,OZSU BALIK
OZYSR,OZYASAR TEL
PAGYO,PANORA GMYO
PAMEL,PAMEL ELEKTRIK
PAPIL,PAPILON SAVUNMA
PARSN,PARSAN
PASEU,PASIFIK EURASIA LOJISTIK
PATEK,PASIFIK TEKNOLOJI
PCILT,PC ILETISIM MEDYA
PEHOL,PERA YATIRIM HOLDING
PEKGY,PEKER GMYO
PENGD,PENGUEN GIDA
PENTA,PENTA TEKNOLOJI URUNLERI DAGITIM
PETKM,PETKIM
PETUN,PINAR ET VE UN
PGSUS,PEGASUS
PINSU,PINAR SU
PKART,PLASTIKKART
PKENT,PETROKENT TURIZM
PLTUR,PLATFORM TURIZM
PNLSN,PANELSAN CATI CEPHE
PNSUT,PINAR SUT
POLHO,POLISAN HOLDING
POLTK,POLITEKNIK METAL
PRDGS,PARDUS GIRISIM
PRKAB,TURK PRYSMIAN KABLO
PRKME,PARK ELEK.MADENCILIK
PRZMA,PRIZMA PRESS MATBAACILIK
PSDTC,PERGAMON DIS TICARET
PSGYO,PASIFIK GMYO
QNBFB,QNB FINANSBANK
QNBFL,QNB FINANS FINANSAL KIRALAMA
QUAGR,QUA GRANITE HAYAL YAPI
RALYH,RAL YATIRIM HOLDING
RAYSG,RAY SIGORTA
REEDR,REEDER TEKNOLOJI
RGYAS,RONESANS GAYRIMENKUL YAT.
RNPOL,RAINBOW POLIKARBONAT
RODRG,RODRIGO TEKSTIL
RTALB,RTA LABORATUVARLARI
RUBNS,RUBENIS TEKSTIL
RYGYO,REYSAS GMYO
RYSAS,REYSAS LOJISTIK
SAFKR,SAFKAR EGE SOGUTMACILIK
SAHOL,SABANCI HOLDING
SAMAT,SARAY MATBAACILIK
SANEL,SANEL MUHENDISLIK
SANFM,SANIFOAM ENDUSTRI
SANKO,SANKO PAZARLAMA
SARKY,SARKUYSAN
SASA,SASA POLYESTER
SAYAS,SAY YENILENEBILIR ENERJI
SDTTR,SDT UZAY VE SAVUNMA
SEGMN,SEGMEN KARDESLER GIDA
SEGYO,SEKER GMYO
SEKFK,SEKER FIN. KIR.
SEKUR,SEKURO PLASTIK
SELEC,SELCUK ECZA DEPOSU
SELGD,SELCUK GIDA
SELVA,SELVA GIDA
SEYKM,SEYITLER KIMYA
SILVR,SILVERLINE ENDUSTRI
SISE,SISE CAM
SKBNK,SEKERBANK
SKTAS,SOKTAS
SKYLP,SKYALP FINANSAL TEKNOLOJILER
SKYMD,SEKER YATIRIM
SMART,SMARTIKS YAZILIM
SMRTG,SMART GUNES ENERJISI TEK.
SNGYO,SINPAS GMYO
SNICA,SANICA ISI SANAYI
SNPAM,SONMEZ PAMUKLU
SODSN,SODAS SODYUM SANAYII
SOKE,SOKE DEGIRMENCILIK
SOKM,SOK MARKETLER TICARET
SONME,SONMEZ FILAMENT
SRVGY,SERVET GMYO
SUMAS,SUMAS SUNI TAHTA
SUNTK,SUN TEKSTIL
SURGY,SUR TATIL EVLERI GMYO
SUWEN,SUWEN TEKSTIL
TABGD,TAB GIDA
TARKM,TARKIM BITKI KORUMA
TATEN,TATLIPINAR ENERJI URETIM
TATGD,TAT GIDA
TAVHL,TAV HAVALIMANLARI
TBORG,T.TUBORG
TCELL,TURKCELL
TDGYO,TREND GMYO
TEKTU,TEK-ART TURIZM
TERA,TERA YATIRIM MENKUL DEGERLER
TETMT,TETAMAT GIDA
TEZOL,EUROPAP TEZOL KAGIT
TGSAS,TGS DIS TICARET
THYAO,TURK HAVA YOLLARI
TKFEN,TEKFEN HOLDING
TKNSA,TEKNOSA IC VE DIS TICARET
TLMAN,TRABZON LIMAN
TMPOL,TEMAPOL POLIMER PLASTIK
TMSN,TUMOSAN MOTOR VE TRAKTOR
TNZTP,TAPDI TINAZTEPE
TOASO,TOFAS OTO. FAB.
TRCAS,TURCAS PETROL
TRGYO,TORUNLAR GMYO
TRILC,TURK ILAC SERUM
TSGYO,TSKB GMYO
TSKB,T.S.K.B.
TSPOR,TRABZONSPOR SPORTIF
TTKOM,TURK TELEKOM
TTRAK,TURK TRAKTOR
TUCLK,TUGCELIK
TUKAS,TUKAS
TUPRS,TUPRAS
TUREX,TUREKS TURIZM TASIMACILIK
TURGG,TURKER PROJE GAYRIMENKUL
TURSG,TURKIYE SIGORTA
UFUK,UFUK YATIRIM
ULAS,ULASLAR TURIZM YAT.
ULKER,ULKER BISKUVI
ULUFA,ULUSAL FAKTORING
ULUSE,ULUSOY ELEKTRIK
ULUUN,ULUSOY UN SANAYI
UMPAS,UMPAS HOLDING
UNLU,UNLU YATIRIM HOLDING
USAK,USAK SERAMIK
VAKBN,VAKIFLAR BANKASI
VAKFN,VAKIF FIN. KIR.
VAKKO,VAKKO TEKSTIL
VANGD,VANET GIDA
VBTYZ,VBT YAZILIM
VERTU,VERUSATURK GIRISIM
VERUS,VERUSA HOLDING
VESBE,VESTEL BEYAZ ESYA
VESTL,VESTEL
VKGYO,VAKIF GMYO
VKING,VIKING KAGIT
VRGYO,VERA KONSEPT GMYO
YAPRK,YAPRAK SUT VE BESI CIFT.
YATAS,YATAS
YAYLA,YAYLA EN. UR. TUR. VE INS
YBTAS,YIBITAS INSAAT MALZEME
YEOTK,YEO TEKNOLOJI ENERJI
YESIL,YESIL YATIRIM HOLDING
YGGYO,YENI GIMAT GMYO
YGYO,YESIL GMYO
YIGIT,YIGIT AKU
YKBNK,YAPI VE KREDI BANK.
YKSLN,YUKSELEN CELIK
YONGA,YONGA MOBILYA
YUNSA,YUNSA
YYAPI,YESIL YAPI
YYLGD,YAYLA GIDA
ZEDUR,ZEDUR ENERJI
ZOREN,ZORLU ENERJI
ZRGYO,ZIRAAT GMYO
